# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
  2.300  0.16329801E+00  0.26666241E-01  0.00000000E+00    2.645000
  2.350  0.14853308E+00  0.22062076E-01  0.00000000E+00    2.761250
  2.400  0.13470513E+00  0.18145471E-01  0.00000000E+00    2.880000
  2.450  0.12180690E+00  0.14836922E-01  0.00000000E+00    3.001250
  2.500  0.10982323E+00  0.12061142E-01  0.00000000E+00    3.125000
  2.550  0.98732083E-01  0.97480241E-02  0.00000000E+00    3.251250
  2.600  0.88505652E-01  0.78332505E-02  0.00000000E+00    3.380000
  2.650  0.79111348E-01  0.62586054E-02  0.00000000E+00    3.511250
  2.700  0.70512762E-01  0.49720496E-02  0.00000000E+00    3.645000
  2.750  0.62670563E-01  0.39275995E-02  0.00000000E+00    3.781250
  2.800  0.55543323E-01  0.30850607E-02  0.00000000E+00    3.920000
  2.850  0.49088265E-01  0.24096577E-02  0.00000000E+00    4.061250
  2.900  0.43261940E-01  0.18715954E-02  0.00000000E+00    4.205000
  2.950  0.38020817E-01  0.14455825E-02  0.00000000E+00    4.351250
  3.000  0.33321802E-01  0.11103425E-02  0.00000000E+00    4.500000
  3.050  0.29122680E-01  0.84813048E-03  0.00000000E+00    4.651250
  3.100  0.25382479E-01  0.64427022E-03  0.00000000E+00    4.805000
  3.150  0.22061773E-01  0.48672181E-03  0.00000000E+00    4.961250
  3.200  0.19122916E-01  0.36568592E-03  0.00000000E+00    5.120000
  3.250  0.16530222E-01  0.27324823E-03  0.00000000E+00    5.281250
  3.300  0.14250084E-01  0.20306490E-03  0.00000000E+00    5.445000
  3.350  0.12251057E-01  0.15008841E-03  0.00000000E+00    5.611250
  3.400  0.10503890E-01  0.11033171E-03  0.00000000E+00    5.780000
  3.450  0.89815271E-02  0.80667829E-04  0.00000000E+00    5.951250
  3.500  0.76590765E-02  0.58661452E-04  0.00000000E+00    6.125000
  3.550  0.65137570E-02  0.42429030E-04  0.00000000E+00    6.301250
  3.600  0.55248210E-02  0.30523648E-04  0.00000000E+00    6.480000
  3.650  0.46734640E-02  0.21841265E-04  0.00000000E+00    6.661250
  3.700  0.39427206E-02  0.15545046E-04  0.00000000E+00    6.845000
  3.750  0.33173542E-02  0.11004839E-04  0.00000000E+00    7.031250
  3.800  0.27837398E-02  0.77492071E-05  0.00000000E+00    7.220000
  3.850  0.23297458E-02  0.54277153E-05  0.00000000E+00    7.411250
  3.900  0.19446149E-02  0.37815270E-05  0.00000000E+00    7.605000
