# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -3.890  0.22998962E+01  0.52895223E+01  0.00000000E+00    7.566050
 -3.885  0.22587663E+01  0.51020254E+01  0.00000000E+00    7.546613
 -3.880  0.22184329E+01  0.49214447E+01  0.00000000E+00    7.527200
 -3.875  0.21788796E+01  0.47475161E+01  0.00000000E+00    7.507813
 -3.870  0.21400902E+01  0.45799860E+01  0.00000000E+00    7.488450
 -3.865  0.21020491E+01  0.44186105E+01  0.00000000E+00    7.469113
 -3.860  0.20647411E+01  0.42631557E+01  0.00000000E+00    7.449800
 -3.855  0.20281510E+01  0.41133966E+01  0.00000000E+00    7.430512
 -3.850  0.19922643E+01  0.39691169E+01  0.00000000E+00    7.411250
 -3.845  0.19570665E+01  0.38301092E+01  0.00000000E+00    7.392013
 -3.840  0.19225436E+01  0.36961738E+01  0.00000000E+00    7.372800
 -3.835  0.18886818E+01  0.35671190E+01  0.00000000E+00    7.353612
 -3.830  0.18554677E+01  0.34427606E+01  0.00000000E+00    7.334450
 -3.825  0.18228882E+01  0.33229214E+01  0.00000000E+00    7.315313
 -3.820  0.17909303E+01  0.32074313E+01  0.00000000E+00    7.296200
 -3.815  0.17595814E+01  0.30961266E+01  0.00000000E+00    7.277112
 -3.810  0.17288292E+01  0.29888503E+01  0.00000000E+00    7.258050
 -3.805  0.16986616E+01  0.28854511E+01  0.00000000E+00    7.239013
 -3.800  0.16690668E+01  0.27857838E+01  0.00000000E+00    7.220000
 -3.795  0.16400332E+01  0.26897088E+01  0.00000000E+00    7.201013
 -3.790  0.16115495E+01  0.25970917E+01  0.00000000E+00    7.182050
 -3.785  0.15836046E+01  0.25078036E+01  0.00000000E+00    7.163113
 -3.780  0.15561878E+01  0.24217203E+01  0.00000000E+00    7.144200
 -3.775  0.15292882E+01  0.23387225E+01  0.00000000E+00    7.125312
 -3.770  0.15028957E+01  0.22586955E+01  0.00000000E+00    7.106450
 -3.765  0.14770000E+01  0.21815290E+01  0.00000000E+00    7.087613
 -3.760  0.14515912E+01  0.21071169E+01  0.00000000E+00    7.068800
 -3.755  0.14266595E+01  0.20353572E+01  0.00000000E+00    7.050012
 -3.750  0.14021953E+01  0.19661517E+01  0.00000000E+00    7.031250
 -3.745  0.13781894E+01  0.18994061E+01  0.00000000E+00    7.012513
 -3.740  0.13546327E+01  0.18350297E+01  0.00000000E+00    6.993800
 -3.735  0.13315161E+01  0.17729351E+01  0.00000000E+00    6.975112
 -3.730  0.13088309E+01  0.17130384E+01  0.00000000E+00    6.956450
 -3.725  0.12865686E+01  0.16552588E+01  0.00000000E+00    6.937813
 -3.720  0.12647208E+01  0.15995186E+01  0.00000000E+00    6.919200
 -3.715  0.12432791E+01  0.15457430E+01  0.00000000E+00    6.900612
 -3.710  0.12222357E+01  0.14938602E+01  0.00000000E+00    6.882050
 -3.705  0.12015826E+01  0.14438008E+01  0.00000000E+00    6.863513
 -3.700  0.11813121E+01  0.13954984E+01  0.00000000E+00    6.845000
 -3.695  0.11614167E+01  0.13488888E+01  0.00000000E+00    6.826513
 -3.690  0.11418890E+01  0.13039104E+01  0.00000000E+00    6.808050
 -3.685  0.11227217E+01  0.12605040E+01  0.00000000E+00    6.789613
 -3.680  0.11039077E+01  0.12186123E+01  0.00000000E+00    6.771200
 -3.675  0.10854402E+01  0.11781804E+01  0.00000000E+00    6.752813
 -3.670  0.10673123E+01  0.11391555E+01  0.00000000E+00    6.734450
 -3.665  0.10495174E+01  0.11014867E+01  0.00000000E+00    6.716113
 -3.660  0.10320489E+01  0.10651249E+01  0.00000000E+00    6.697800
 -3.655  0.10149005E+01  0.10300230E+01  0.00000000E+00    6.679513
 -3.650  0.99806594E+00  0.99613562E+00  0.00000000E+00    6.661250
 -3.645  0.98153910E+00  0.96341900E+00  0.00000000E+00    6.643013
 -3.640  0.96531398E+00  0.93183108E+00  0.00000000E+00    6.624800
 -3.635  0.94938472E+00  0.90133134E+00  0.00000000E+00    6.606613
 -3.630  0.93374557E+00  0.87188079E+00  0.00000000E+00    6.588450
 -3.625  0.91839091E+00  0.84344187E+00  0.00000000E+00    6.570313
 -3.620  0.90331523E+00  0.81597840E+00  0.00000000E+00    6.552200
 -3.615  0.88851312E+00  0.78945557E+00  0.00000000E+00    6.534113
 -3.610  0.87397931E+00  0.76383983E+00  0.00000000E+00    6.516050
 -3.605  0.85970861E+00  0.73909889E+00  0.00000000E+00    6.498012
 -3.600  0.84569595E+00  0.71520164E+00  0.00000000E+00    6.480000
 -3.595  0.83193636E+00  0.69211811E+00  0.00000000E+00    6.462013
 -3.590  0.81842499E+00  0.66981946E+00  0.00000000E+00    6.444050
 -3.585  0.80515705E+00  0.64827788E+00  0.00000000E+00    6.426112
 -3.580  0.79212790E+00  0.62746660E+00  0.00000000E+00    6.408200
 -3.575  0.77933294E+00  0.60735983E+00  0.00000000E+00    6.390313
 -3.570  0.76676770E+00  0.58793270E+00  0.00000000E+00    6.372450
 -3.565  0.75442779E+00  0.56916129E+00  0.00000000E+00    6.354612
 -3.560  0.74230892E+00  0.55102253E+00  0.00000000E+00    6.336800
 -3.555  0.73040687E+00  0.53349419E+00  0.00000000E+00    6.319013
 -3.550  0.71871751E+00  0.51655486E+00  0.00000000E+00    6.301250
 -3.545  0.70723681E+00  0.50018390E+00  0.00000000E+00    6.283512
 -3.540  0.69596079E+00  0.48436143E+00  0.00000000E+00    6.265800
 -3.535  0.68488559E+00  0.46906828E+00  0.00000000E+00    6.248113
 -3.530  0.67400740E+00  0.45428598E+00  0.00000000E+00    6.230450
 -3.525  0.66332250E+00  0.43999674E+00  0.00000000E+00    6.212813
 -3.520  0.65282724E+00  0.42618340E+00  0.00000000E+00    6.195200
 -3.515  0.64251804E+00  0.41282943E+00  0.00000000E+00    6.177613
 -3.510  0.63239139E+00  0.39991888E+00  0.00000000E+00    6.160050
 -3.505  0.62244388E+00  0.38743638E+00  0.00000000E+00    6.142512
 -3.500  0.61267212E+00  0.37536713E+00  0.00000000E+00    6.125000
 -3.495  0.60307284E+00  0.36369685E+00  0.00000000E+00    6.107513
 -3.490  0.59364279E+00  0.35241176E+00  0.00000000E+00    6.090050
 -3.485  0.58437881E+00  0.34149860E+00  0.00000000E+00    6.072612
 -3.480  0.57527781E+00  0.33094456E+00  0.00000000E+00    6.055200
 -3.475  0.56633674E+00  0.32073730E+00  0.00000000E+00    6.037813
 -3.470  0.55755263E+00  0.31086493E+00  0.00000000E+00    6.020450
 -3.465  0.54892255E+00  0.30131596E+00  0.00000000E+00    6.003112
 -3.460  0.54044364E+00  0.29207933E+00  0.00000000E+00    5.985800
 -3.455  0.53211311E+00  0.28314437E+00  0.00000000E+00    5.968513
 -3.450  0.52392821E+00  0.27450077E+00  0.00000000E+00    5.951250
 -3.445  0.51588624E+00  0.26613862E+00  0.00000000E+00    5.934013
 -3.440  0.50798457E+00  0.25804832E+00  0.00000000E+00    5.916800
 -3.435  0.50022061E+00  0.25022065E+00  0.00000000E+00    5.899612
 -3.430  0.49259182E+00  0.24264670E+00  0.00000000E+00    5.882450
 -3.425  0.48509572E+00  0.23531786E+00  0.00000000E+00    5.865313
 -3.420  0.47772988E+00  0.22822584E+00  0.00000000E+00    5.848200
 -3.415  0.47049190E+00  0.22136263E+00  0.00000000E+00    5.831112
 -3.410  0.46337946E+00  0.21472052E+00  0.00000000E+00    5.814050
 -3.405  0.45639025E+00  0.20829206E+00  0.00000000E+00    5.797013
 -3.400  0.44952204E+00  0.20207006E+00  0.00000000E+00    5.780000
 -3.395  0.44277261E+00  0.19604758E+00  0.00000000E+00    5.763013
 -3.390  0.43613980E+00  0.19021793E+00  0.00000000E+00    5.746050
 -3.385  0.42962151E+00  0.18457464E+00  0.00000000E+00    5.729113
 -3.380  0.42321565E+00  0.17911148E+00  0.00000000E+00    5.712200
 -3.375  0.41692019E+00  0.17382244E+00  0.00000000E+00    5.695313
 -3.370  0.41073313E+00  0.16870171E+00  0.00000000E+00    5.678450
 -3.365  0.40465253E+00  0.16374367E+00  0.00000000E+00    5.661613
 -3.360  0.39867646E+00  0.15894292E+00  0.00000000E+00    5.644800
 -3.355  0.39280305E+00  0.15429423E+00  0.00000000E+00    5.628012
 -3.350  0.38703045E+00  0.14979257E+00  0.00000000E+00    5.611250
 -3.345  0.38135685E+00  0.14543305E+00  0.00000000E+00    5.594513
 -3.340  0.37578049E+00  0.14121098E+00  0.00000000E+00    5.577800
 -3.335  0.37029964E+00  0.13712182E+00  0.00000000E+00    5.561113
 -3.330  0.36491258E+00  0.13316119E+00  0.00000000E+00    5.544450
 -3.325  0.35961765E+00  0.12932486E+00  0.00000000E+00    5.527813
 -3.320  0.35441322E+00  0.12560873E+00  0.00000000E+00    5.511200
 -3.315  0.34929768E+00  0.12200887E+00  0.00000000E+00    5.494612
 -3.310  0.34426945E+00  0.11852146E+00  0.00000000E+00    5.478050
 -3.305  0.33932701E+00  0.11514282E+00  0.00000000E+00    5.461513
 -3.300  0.33446882E+00  0.11186939E+00  0.00000000E+00    5.445000
 -3.295  0.32969342E+00  0.10869775E+00  0.00000000E+00    5.428513
 -3.290  0.32499934E+00  0.10562457E+00  0.00000000E+00    5.412050
 -3.285  0.32038516E+00  0.10264665E+00  0.00000000E+00    5.395613
 -3.280  0.31584949E+00  0.99760902E-01  0.00000000E+00    5.379200
 -3.275  0.31139096E+00  0.96964327E-01  0.00000000E+00    5.362812
 -3.270  0.30700821E+00  0.94254039E-01  0.00000000E+00    5.346450
 -3.265  0.30269993E+00  0.91627249E-01  0.00000000E+00    5.330113
 -3.260  0.29846483E+00  0.89081258E-01  0.00000000E+00    5.313800
 -3.255  0.29430165E+00  0.86613462E-01  0.00000000E+00    5.297512
