# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.49219656E-11  0.24225745E-22  0.00000000E+00   12.500000
 -4.055  0.10847766E-01  0.11767403E-03  0.00000000E+00    8.221512
 -4.050  0.11026509E-01  0.12158390E-03  0.00000000E+00    8.201250
 -4.045  0.11207844E-01  0.12561576E-03  0.00000000E+00    8.181012
 -4.040  0.11391802E-01  0.12977315E-03  0.00000000E+00    8.160800
 -4.035  0.11578415E-01  0.13405969E-03  0.00000000E+00    8.140613
 -4.030  0.11767714E-01  0.13847910E-03  0.00000000E+00    8.120450
 -4.025  0.11959732E-01  0.14303520E-03  0.00000000E+00    8.100313
 -4.020  0.12154501E-01  0.14773190E-03  0.00000000E+00    8.080200
 -4.015  0.12352054E-01  0.15257323E-03  0.00000000E+00    8.060112
 -4.010  0.12552423E-01  0.15756332E-03  0.00000000E+00    8.040050
 -4.005  0.12755641E-01  0.16270638E-03  0.00000000E+00    8.020012
 -4.000  0.12961742E-01  0.16800676E-03  0.00000000E+00    8.000000
 -3.995  0.13170760E-01  0.17346891E-03  0.00000000E+00    7.980013
 -3.990  0.13382727E-01  0.17909739E-03  0.00000000E+00    7.960050
 -3.985  0.13597679E-01  0.18489689E-03  0.00000000E+00    7.940112
 -3.980  0.13815650E-01  0.19087220E-03  0.00000000E+00    7.920200
 -3.975  0.14036675E-01  0.19702824E-03  0.00000000E+00    7.900313
 -3.970  0.14260787E-01  0.20337006E-03  0.00000000E+00    7.880450
 -3.965  0.14488023E-01  0.20990282E-03  0.00000000E+00    7.860613
 -3.960  0.14718418E-01  0.21663184E-03  0.00000000E+00    7.840800
 -3.955  0.14952008E-01  0.22356254E-03  0.00000000E+00    7.821013
 -3.950  0.15188828E-01  0.23070049E-03  0.00000000E+00    7.801250
 -3.945  0.15428914E-01  0.23805139E-03  0.00000000E+00    7.781513
 -3.940  0.15672303E-01  0.24562109E-03  0.00000000E+00    7.761800
 -3.935  0.15919032E-01  0.25341559E-03  0.00000000E+00    7.742113
 -3.930  0.16169138E-01  0.26144102E-03  0.00000000E+00    7.722450
 -3.925  0.16422657E-01  0.26970367E-03  0.00000000E+00    7.702813
 -3.920  0.16679627E-01  0.27820997E-03  0.00000000E+00    7.683200
 -3.915  0.16940086E-01  0.28696653E-03  0.00000000E+00    7.663613
 -3.910  0.17204072E-01  0.29598009E-03  0.00000000E+00    7.644050
 -3.905  0.17471622E-01  0.30525759E-03  0.00000000E+00    7.624513
 -3.900  0.17742776E-01  0.31480610E-03  0.00000000E+00    7.605000
 -3.895  0.18017571E-01  0.32463287E-03  0.00000000E+00    7.585513
 -3.890  0.18296047E-01  0.33474533E-03  0.00000000E+00    7.566050
 -3.885  0.18578242E-01  0.34515109E-03  0.00000000E+00    7.546613
 -3.880  0.18864197E-01  0.35585792E-03  0.00000000E+00    7.527200
 -3.875  0.19153950E-01  0.36687378E-03  0.00000000E+00    7.507813
 -3.870  0.19447541E-01  0.37820684E-03  0.00000000E+00    7.488450
 -3.865  0.19745010E-01  0.38986543E-03  0.00000000E+00    7.469113
 -3.860  0.20046398E-01  0.40185808E-03  0.00000000E+00    7.449800
 -3.855  0.20351745E-01  0.41419353E-03  0.00000000E+00    7.430512
 -3.850  0.20661092E-01  0.42688072E-03  0.00000000E+00    7.411250
 -3.845  0.20974479E-01  0.43992877E-03  0.00000000E+00    7.392013
 -3.840  0.21291948E-01  0.45334704E-03  0.00000000E+00    7.372800
 -3.835  0.21613540E-01  0.46714510E-03  0.00000000E+00    7.353612
 -3.830  0.21939296E-01  0.48133271E-03  0.00000000E+00    7.334450
 -3.825  0.22269259E-01  0.49591989E-03  0.00000000E+00    7.315313
 -3.820  0.22603470E-01  0.51091684E-03  0.00000000E+00    7.296200
 -3.815  0.22941971E-01  0.52633403E-03  0.00000000E+00    7.277112
 -3.810  0.23284805E-01  0.54218214E-03  0.00000000E+00    7.258050
 -3.805  0.23632014E-01  0.55847210E-03  0.00000000E+00    7.239013
 -3.800  0.23983642E-01  0.57521507E-03  0.00000000E+00    7.220000
 -3.795  0.24339730E-01  0.59242245E-03  0.00000000E+00    7.201013
 -3.790  0.24700322E-01  0.61010593E-03  0.00000000E+00    7.182050
 -3.785  0.25065462E-01  0.62827740E-03  0.00000000E+00    7.163113
